日期,时刻,统调负荷,气温
2025-06-04,960,73297.9,30.5
2025-06-04,1020,74435.3,31.54
2025-06-04,1080,75168.2,32.33
2025-06-04,1140,75446.7,32.83
2025-06-04,1200,75251.7,33.0
2025-06-04,1260,74596.7,32.83
2025-06-04,1320,73526.1,32.33
2025-06-04,1380,72113.1,31.54
2025-06-05,0,70453.8,30.5
2025-06-05,60,68661.4,29.29
2025-06-05,120,66857.9,28.0
2025-06-05,180,66331.1,26.71
2025-06-05,240,65952.1,25.5
2025-06-05,300,65746.7,24.46
2025-06-05,360,65728.9,23.67
2025-06-05,420,65900.0,23.17
2025-06-05,480,66248.3,23.0
2025-06-05,540,66750.0,23.17
2025-06-05,600,67371.0,23.67
2025-06-05,660,68068.9,24.46
2025-06-05,720,68796.2,25.5
2025-06-05,780,69503.3,26.71
2025-06-05,840,70142.1,28.0
2025-06-05,900,71833.6,29.29
2025-06-05,960,73297.9,30.5
2025-06-05,1020,74435.3,31.54
2025-06-05,1080,75168.2,32.33
2025-06-05,1140,75446.7,32.83
2025-06-05,1200,75251.7,33.0
2025-06-05,1260,74596.7,32.83
2025-06-05,1320,73526.1,32.33
2025-06-05,1380,72113.1,31.54
2025-06-06,0,70453.8,30.5
2025-06-06,60,68661.4,29.29
2025-06-06,120,66857.9,28.0
2025-06-06,180,66331.1,26.71
2025-06-06,240,65952.1,25.5
2025-06-06,300,65746.7,24.46
2025-06-06,360,65728.9,23.67
2025-06-06,420,65900.0,23.17
2025-06-06,480,66248.3,23.0
2025-06-06,540,66750.0,23.17
2025-06-06,600,67371.0,23.67
2025-06-06,660,68068.9,24.46
2025-06-06,720,68796.2,25.5
2025-06-06,780,69503.3,26.71
2025-06-06,840,70142.1,28.0
2025-06-06,900,71833.6,29.29
2025-06-06,960,73297.9,30.5
2025-06-06,1020,74435.3,31.54
2025-06-06,1080,75168.2,32.33
2025-06-06,1140,75446.7,32.83
2025-06-06,1200,75251.7,33.0
2025-06-06,1260,74596.7,32.83
2025-06-06,1320,73526.1,32.33
2025-06-06,1380,72113.1,31.54
2025-06-07,0,67853.8,30.5
2025-06-07,60,66061.4,29.29
2025-06-07,120,64257.9,28.0
2025-06-07,180,63731.1,26.71
2025-06-07,240,63352.1,25.5
2025-06-07,300,63146.7,24.46
2025-06-07,360,63128.9,23.67
2025-06-07,420,63300.0,23.17
2025-06-07,480,63648.3,23.0
2025-06-07,540,64150.0,23.17
2025-06-07,600,64771.0,23.67
2025-06-07,660,65468.9,24.46
2025-06-07,720,66196.2,25.5
2025-06-07,780,66903.3,26.71
2025-06-07,840,67542.1,28.0
2025-06-07,900,69233.6,29.29
2025-06-07,960,70697.9,30.5
2025-06-07,1020,71835.3,31.54
2025-06-07,1080,72568.2,32.33
2025-06-07,1140,72846.7,32.83
2025-06-07,1200,72651.7,33.0
2025-06-07,1260,71996.7,32.83
2025-06-07,1320,70926.1,32.33
2025-06-07,1380,69513.1,31.54
2025-06-08,0,67853.8,30.5
2025-06-08,60,66061.4,29.29
2025-06-08,120,64257.9,28.0
2025-06-08,180,63731.1,26.71
2025-06-08,240,63352.1,25.5
2025-06-08,300,63146.7,24.46
2025-06-08,360,63128.9,23.67
2025-06-08,420,63300.0,23.17
2025-06-08,480,63648.3,23.0
2025-06-08,540,64150.0,23.17
2025-06-08,600,64771.0,23.67
2025-06-08,660,65468.9,24.46
2025-06-08,720,66196.2,25.5
2025-06-08,780,66903.3,26.71
2025-06-08,840,67542.1,28.0
2025-06-08,900,69233.6,29.29
2025-06-08,960,70697.9,30.5
2025-06-08,1020,71835.3,31.54
2025-06-08,1080,72568.2,32.33
2025-06-08,1140,72846.7,32.83
2025-06-08,1200,72651.7,33.0
2025-06-08,1260,71996.7,32.83
2025-06-08,1320,70926.1,32.33
2025-06-08,1380,69513.1,31.54
2025-06-09,0,70453.8,30.5
2025-06-09,60,68661.4,29.29
2025-06-09,120,66857.9,28.0
2025-06-09,180,66331.1,26.71
2025-06-09,240,65952.1,25.5
2025-06-09,300,65746.7,24.46
2025-06-09,360,65728.9,23.67
2025-06-09,420,65900.0,23.17
2025-06-09,480,66248.3,23.0
2025-06-09,540,66750.0,23.17
2025-06-09,600,67371.0,23.67
2025-06-09,660,68068.9,24.46
2025-06-09,720,68796.2,25.5
2025-06-09,780,69503.3,26.71
2025-06-09,840,70142.1,28.0
2025-06-09,900,71833.6,29.29
2025-06-09,960,73297.9,30.5
2025-06-09,1020,74435.3,31.54
2025-06-09,1080,75168.2,32.33
2025-06-09,1140,75446.7,32.83
2025-06-09,1200,75251.7,33.0
2025-06-09,1260,74596.7,32.83
2025-06-09,1320,73526.1,32.33
2025-06-09,1380,72113.1,31.54
2025-06-10,0,70453.8,30.5
2025-06-10,60,68661.4,29.29
2025-06-10,120,66857.9,28.0
2025-06-10,180,66331.1,26.71
2025-06-10,240,65952.1,25.5
2025-06-10,300,65746.7,24.46
2025-06-10,360,65728.9,23.67
2025-06-10,420,65900.0,23.17
2025-06-10,480,66248.3,23.0
2025-06-10,540,66750.0,23.17
2025-06-10,600,67371.0,23.67
2025-06-10,660,68068.9,24.46
2025-06-10,720,68796.2,25.5
2025-06-10,780,69503.3,26.71
2025-06-10,840,70142.1,28.0
2025-06-10,900,71833.6,29.29
2025-06-10,960,73297.9,30.5
2025-06-10,1020,74435.3,31.54
2025-06-10,1080,75168.2,32.33
2025-06-10,1140,75446.7,32.83
2025-06-10,1200,75251.7,33.0
2025-06-10,1260,74596.7,32.83
2025-06-10,1320,73526.1,32.33
2025-06-10,1380,72113.1,31.54
2025-06-11,0,70453.8,30.5
2025-06-11,60,68661.4,29.29
2025-06-11,120,66857.9,28.0
2025-06-11,180,66331.1,26.71
2025-06-11,240,65952.1,25.5
2025-06-11,300,65746.7,24.46
2025-06-11,360,65728.9,23.67
2025-06-11,420,65900.0,23.17
2025-06-11,480,66248.3,23.0
2025-06-11,540,66750.0,23.17
2025-06-11,600,67371.0,23.67
2025-06-11,660,68068.9,24.46
2025-06-11,720,68796.2,25.5
2025-06-11,780,69503.3,26.71
2025-06-11,840,70142.1,28.0
2025-06-11,900,71833.6,29.29
2025-06-11,960,73297.9,30.5
2025-06-11,1020,74435.3,31.54
2025-06-11,1080,75168.2,32.33
2025-06-11,1140,75446.7,32.83
2025-06-11,1200,75251.7,33.0
2025-06-11,1260,74596.7,32.83
2025-06-11,1320,73526.1,32.33
2025-06-11,1380,72113.1,31.54
2025-06-12,0,70453.8,30.5
2025-06-12,60,68661.4,29.29
2025-06-12,120,66857.9,28.0
2025-06-12,180,66331.1,26.71
2025-06-12,240,65952.1,25.5
2025-06-12,300,65746.7,24.46
2025-06-12,360,65728.9,23.67
2025-06-12,420,65900.0,23.17
2025-06-12,480,66248.3,23.0
2025-06-12,540,66750.0,23.17
2025-06-12,600,67371.0,23.67
2025-06-12,660,68068.9,24.46
2025-06-12,720,68796.2,25.5
2025-06-12,780,69503.3,26.71
2025-06-12,840,70142.1,28.0
2025-06-12,900,71833.6,29.29
2025-06-12,960,73297.9,30.5
2025-06-12,1020,74435.3,31.54
2025-06-12,1080,75168.2,32.33
2025-06-12,1140,75446.7,32.83
2025-06-12,1200,75251.7,33.0
2025-06-12,1260,74596.7,32.83
2025-06-12,1320,73526.1,32.33
2025-06-12,1380,72113.1,31.54
2025-06-13,0,70453.8,30.5
2025-06-13,60,68661.4,29.29
2025-06-13,120,66857.9,28.0
2025-06-13,180,66331.1,26.71
2025-06-13,240,65952.1,25.5
2025-06-13,300,65746.7,24.46
2025-06-13,360,65728.9,23.67
2025-06-13,420,65900.0,23.17
2025-06-13,480,66248.3,23.0
2025-06-13,540,66750.0,23.17
2025-06-13,600,67371.0,23.67
2025-06-13,660,68068.9,24.46
2025-06-13,720,68796.2,25.5
2025-06-13,780,69503.3,26.71
2025-06-13,840,70142.1,28.0
2025-06-13,900,71833.6,29.29
2025-06-13,960,73297.9,30.5
2025-06-13,1020,74435.3,31.54
2025-06-13,1080,75168.2,32.33
2025-06-13,1140,75446.7,32.83
2025-06-13,1200,75251.7,33.0
2025-06-13,1260,74596.7,32.83
2025-06-13,1320,73526.1,32.33
2025-06-13,1380,72113.1,31.54
2025-06-14,0,67853.8,30.5
2025-06-14,60,66061.4,29.29
2025-06-14,120,64257.9,28.0
2025-06-14,180,63731.1,26.71
2025-06-14,240,63352.1,25.5
2025-06-14,300,63146.7,24.46
2025-06-14,360,63128.9,23.67
2025-06-14,420,63300.0,23.17
2025-06-14,480,63648.3,23.0
2025-06-14,540,64150.0,23.17
2025-06-14,600,64771.0,23.67
2025-06-14,660,65468.9,24.46
2025-06-14,720,66196.2,25.5
2025-06-14,780,66903.3,26.71
2025-06-14,840,67542.1,28.0
2025-06-14,900,69233.6,29.29
2025-06-14,960,70697.9,30.5
2025-06-14,1020,71835.3,31.54
2025-06-14,1080,72568.2,32.33
2025-06-14,1140,72846.7,32.83
2025-06-14,1200,72651.7,33.0
2025-06-14,1260,71996.7,32.83
2025-06-14,1320,70926.1,32.33
2025-06-14,1380,69513.1,31.54
2025-06-15,0,67853.8,30.5
2025-06-15,60,66061.4,29.29
2025-06-15,120,64257.9,28.0
2025-06-15,180,63731.1,26.71
2025-06-15,240,63352.1,25.5
2025-06-15,300,63146.7,24.46
2025-06-15,360,63128.9,23.67
2025-06-15,420,63300.0,23.17
2025-06-15,480,63648.3,23.0
2025-06-15,540,64150.0,23.17
2025-06-15,600,64771.0,23.67
2025-06-15,660,65468.9,24.46
2025-06-15,720,66196.2,25.5
2025-06-15,780,66903.3,26.71
2025-06-15,840,67542.1,28.0
2025-06-15,900,69233.6,29.29
2025-06-15,960,70697.9,30.5
2025-06-15,1020,71835.3,31.54
2025-06-15,1080,72568.2,32.33
2025-06-15,1140,72846.7,32.83
2025-06-15,1200,72651.7,33.0
2025-06-15,1260,71996.7,32.83
2025-06-15,1320,70926.1,32.33
2025-06-15,1380,69513.1,31.54
2025-06-16,0,70453.8,30.5
2025-06-16,60,68661.4,29.29
2025-06-16,120,66857.9,28.0
2025-06-16,180,66331.1,26.71
2025-06-16,240,65952.1,25.5
2025-06-16,300,65746.7,24.46
2025-06-16,360,65728.9,23.67
2025-06-16,420,65900.0,23.17
2025-06-16,480,66248.3,23.0
2025-06-16,540,66750.0,23.17
2025-06-16,600,67371.0,23.67
2025-06-16,660,68068.9,24.46
2025-06-16,720,68796.2,25.5
2025-06-16,780,69503.3,26.71
2025-06-16,840,70142.1,28.0
2025-06-16,900,71833.6,29.29
2025-06-16,960,73297.9,30.5
2025-06-16,1020,74435.3,31.54
2025-06-16,1080,75168.2,32.33
2025-06-16,1140,75446.7,32.83
2025-06-16,1200,75251.7,33.0
2025-06-16,1260,74596.7,32.83
2025-06-16,1320,73526.1,32.33
2025-06-16,1380,72113.1,31.54
2025-06-17,0,70453.8,30.5
2025-06-17,60,68661.4,29.29
2025-06-17,120,66857.9,28.0
2025-06-17,180,66331.1,26.71
2025-06-17,240,65952.1,25.5
2025-06-17,300,65746.7,24.46
2025-06-17,360,65728.9,23.67
2025-06-17,420,65900.0,23.17
2025-06-17,480,66248.3,23.0
2025-06-17,540,66750.0,23.17
2025-06-17,600,67371.0,23.67
2025-06-17,660,68068.9,24.46
2025-06-17,720,68796.2,25.5
2025-06-17,780,69503.3,26.71
2025-06-17,840,70142.1,28.0
2025-06-17,900,71833.6,29.29
2025-06-17,960,73297.9,30.5
2025-06-17,1020,74435.3,31.54
2025-06-17,1080,75168.2,32.33
2025-06-17,1140,75446.7,32.83
2025-06-17,1200,75251.7,33.0
2025-06-17,1260,74596.7,32.83
2025-06-17,1320,73526.1,32.33
2025-06-17,1380,72113.1,31.54
2025-06-18,0,70453.8,30.5
2025-06-18,60,68661.4,29.29
2025-06-18,120,66857.9,28.0
2025-06-18,180,66331.1,26.71
2025-06-18,240,65952.1,25.5
2025-06-18,300,65746.7,24.46
2025-06-18,360,65728.9,23.67
2025-06-18,420,65900.0,23.17
2025-06-18,480,66248.3,23.0
2025-06-18,540,66750.0,23.17
2025-06-18,600,67371.0,23.67
2025-06-18,660,68068.9,24.46
2025-06-18,720,68796.2,25.5
2025-06-18,780,69503.3,26.71
2025-06-18,840,70142.1,28.0
2025-06-18,900,71833.6,29.29
2025-06-18,960,73297.9,30.5
2025-06-18,1020,74435.3,31.54
2025-06-18,1080,75168.2,32.33
2025-06-18,1140,75446.7,32.83
2025-06-18,1200,75251.7,33.0
2025-06-18,1260,74596.7,32.83
2025-06-18,1320,73526.1,32.33
2025-06-18,1380,72113.1,31.54
2025-06-19,0,70453.8,30.5
2025-06-19,60,68661.4,29.29
2025-06-19,120,66857.9,28.0
2025-06-19,180,66331.1,26.71
2025-06-19,240,65952.1,25.5
2025-06-19,300,65746.7,24.46
2025-06-19,360,65728.9,23.67
2025-06-19,420,65900.0,23.17
2025-06-19,480,66248.3,23.0
2025-06-19,540,66750.0,23.17
2025-06-19,600,67371.0,23.67
2025-06-19,660,68068.9,24.46
2025-06-19,720,68796.2,25.5
2025-06-19,780,69503.3,26.71
2025-06-19,840,70142.1,28.0
2025-06-19,900,71833.6,29.29
2025-06-19,960,73297.9,30.5
2025-06-19,1020,74435.3,31.54
2025-06-19,1080,75168.2,32.33
2025-06-19,1140,75446.7,32.83
2025-06-19,1200,75251.7,33.0
2025-06-19,1260,74596.7,32.83
2025-06-19,1320,73526.1,32.33
2025-06-19,1380,72113.1,31.54
2025-06-20,0,70453.8,30.5
2025-06-20,60,68661.4,29.29
2025-06-20,120,66857.9,28.0
2025-06-20,180,66331.1,26.71
2025-06-20,240,65952.1,25.5
2025-06-20,300,65746.7,24.46
2025-06-20,360,65728.9,23.67
2025-06-20,420,65900.0,23.17
2025-06-20,480,66248.3,23.0
2025-06-20,540,66750.0,23.17
2025-06-20,600,67371.0,23.67
2025-06-20,660,68068.9,24.46
2025-06-20,720,68796.2,25.5
2025-06-20,780,69503.3,26.71
2025-06-20,840,70142.1,28.0
2025-06-20,900,71833.6,29.29
2025-06-20,960,73297.9,30.5
2025-06-20,1020,74435.3,31.54
2025-06-20,1080,75168.2,32.33
2025-06-20,1140,75446.7,32.83
2025-06-20,1200,75251.7,33.0
2025-06-20,1260,74596.7,32.83
2025-06-20,1320,73526.1,32.33
2025-06-20,1380,72113.1,31.54
2025-06-21,0,67853.8,30.5
2025-06-21,60,66061.4,29.29
2025-06-21,120,64257.9,28.0
2025-06-21,180,63731.1,26.71
2025-06-21,240,63352.1,25.5
2025-06-21,300,63146.7,24.46
2025-06-21,360,63128.9,23.67
2025-06-21,420,63300.0,23.17
2025-06-21,480,63648.3,23.0
2025-06-21,540,64150.0,23.17
2025-06-21,600,64771.0,23.67
2025-06-21,660,65468.9,24.46
2025-06-21,720,66196.2,25.5
2025-06-21,780,66903.3,26.71
2025-06-21,840,67542.1,28.0
2025-06-21,900,69233.6,29.29
2025-06-21,960,70697.9,30.5
2025-06-21,1020,71835.3,31.54
2025-06-21,1080,72568.2,32.33
2025-06-21,1140,72846.7,32.83
2025-06-21,1200,72651.7,33.0
2025-06-21,1260,71996.7,32.83
2025-06-21,1320,70926.1,32.33
2025-06-21,1380,69513.1,31.54
