日期,小时,负荷,温度
2025-01-11,7,1983.28,2.8
2025-01-11,8,2015.9,2.2
2025-01-11,9,2038.59,2.0
2025-01-11,10,2049.78,2.2
2025-01-11,11,2048.73,2.8
2025-01-11,12,2035.49,3.76
2025-01-11,13,2010.98,5.0
2025-01-11,14,1976.86,6.45
2025-01-11,15,1935.45,8.0
2025-01-11,16,1889.59,9.55
2025-01-11,17,1877.39,11.0
2025-01-11,18,1875.56,12.24
2025-01-11,19,1868.59,13.2
2025-01-11,20,1856.94,13.8
2025-01-11,21,1841.41,14.0
2025-01-11,22,1823.06,13.8
2025-01-11,23,1803.14,13.2
2025-01-11,24,1783.0,12.24
2025-01-12,1,1764.02,11.0
2025-01-12,2,1763.14,9.55
2025-01-12,3,1804.55,8.0
2025-01-12,4,1850.41,6.45
2025-01-12,5,1897.61,5.0
2025-01-12,6,1942.93,3.76
2025-01-12,7,1983.28,2.8
2025-01-12,8,2015.9,2.2
2025-01-12,9,2038.59,2.0
2025-01-12,10,2049.78,2.2
2025-01-12,11,2048.73,2.8
2025-01-12,12,2035.49,3.76
2025-01-12,13,2010.98,5.0
2025-01-12,14,1976.86,6.45
2025-01-12,15,1935.45,8.0
2025-01-12,16,1889.59,9.55
2025-01-12,17,1877.39,11.0
2025-01-12,18,1875.56,12.24
2025-01-12,19,1868.59,13.2
2025-01-12,20,1856.94,13.8
2025-01-12,21,1841.41,14.0
2025-01-12,22,1823.06,13.8
2025-01-12,23,1803.14,13.2
2025-01-12,24,1783.0,12.24
2025-01-13,1,1764.02,11.0
2025-01-13,2,1763.14,9.55
2025-01-13,3,1804.55,8.0
2025-01-13,4,1850.41,6.45
2025-01-13,5,1897.61,5.0
2025-01-13,6,1942.93,3.76
2025-01-13,7,1983.28,2.8
2025-01-13,8,2015.9,2.2
2025-01-13,9,2038.59,2.0
2025-01-13,10,2049.78,2.2
2025-01-13,11,2048.73,2.8
2025-01-13,12,2035.49,3.76
2025-01-13,13,2010.98,5.0
2025-01-13,14,1976.86,6.45
2025-01-13,15,1935.45,8.0
2025-01-13,16,1889.59,9.55
2025-01-13,17,1877.39,11.0
2025-01-13,18,1875.56,12.24
2025-01-13,19,1868.59,13.2
2025-01-13,20,1856.94,13.8
2025-01-13,21,1841.41,14.0
2025-01-13,22,1823.06,13.8
2025-01-13,23,1803.14,13.2
2025-01-13,24,1783.0,12.24
2025-01-14,1,1764.02,11.0
2025-01-14,2,1763.14,9.55
2025-01-14,3,1804.55,8.0
2025-01-14,4,1850.41,6.45
2025-01-14,5,1897.61,5.0
2025-01-14,6,1942.93,3.76
2025-01-14,7,1983.28,2.8
2025-01-14,8,2015.9,2.2
2025-01-14,9,2038.59,2.0
2025-01-14,10,2049.78,2.2
2025-01-14,11,2048.73,2.8
2025-01-14,12,2035.49,3.76
2025-01-14,13,2010.98,5.0
2025-01-14,14,1976.86,6.45
2025-01-14,15,1935.45,8.0
2025-01-14,16,1889.59,9.55
2025-01-14,17,1877.39,11.0
2025-01-14,18,1875.56,12.24
2025-01-14,19,1868.59,13.2
2025-01-14,20,1856.94,13.8
2025-01-14,21,1841.41,14.0
2025-01-14,22,1823.06,13.8
2025-01-14,23,1803.14,13.2
2025-01-14,24,1783.0,12.24
2025-01-15,1,1764.02,11.0
2025-01-15,2,1763.14,9.55
2025-01-15,3,1804.55,8.0
2025-01-15,4,1850.41,6.45
2025-01-15,5,1897.61,5.0
2025-01-15,6,1942.93,3.76
2025-01-15,7,1983.28,2.8
2025-01-15,8,2015.9,2.2
2025-01-15,9,2038.59,2.0
2025-01-15,10,2049.78,2.2
2025-01-15,11,2048.73,2.8
2025-01-15,12,2035.49,3.76
2025-01-15,13,2010.98,5.0
2025-01-15,14,1976.86,6.45
2025-01-15,15,1935.45,8.0
2025-01-15,16,1889.59,9.55
2025-01-15,17,1877.39,11.0
2025-01-15,18,1875.56,12.24
2025-01-15,19,1868.59,13.2
2025-01-15,20,1856.94,13.8
2025-01-15,21,1841.41,14.0
2025-01-15,22,1823.06,13.8
2025-01-15,23,1803.14,13.2
2025-01-15,24,1783.0,12.24
2025-01-16,1,1764.02,11.0
2025-01-16,2,1763.14,9.55
2025-01-16,3,1804.55,8.0
2025-01-16,4,1850.41,6.45
2025-01-16,5,1897.61,5.0
2025-01-16,6,1942.93,3.76
2025-01-16,7,1983.28,2.8
2025-01-16,8,2015.9,2.2
2025-01-16,9,2038.59,2.0
2025-01-16,10,2049.78,2.2
2025-01-16,11,2048.73,2.8
2025-01-16,12,2035.49,3.76
2025-01-16,13,2010.98,5.0
2025-01-16,14,1976.86,6.45
2025-01-16,15,1935.45,8.0
2025-01-16,16,1889.59,9.55
2025-01-16,17,1877.39,11.0
2025-01-16,18,1875.56,12.24
2025-01-16,19,1868.59,13.2
2025-01-16,20,1856.94,13.8
2025-01-16,21,1841.41,14.0
2025-01-16,22,1823.06,13.8
2025-01-16,23,1803.14,13.2
2025-01-16,24,1783.0,12.24
2025-01-17,1,1764.02,11.0
2025-01-17,2,1763.14,9.55
2025-01-17,3,1804.55,8.0
2025-01-17,4,1850.41,6.45
2025-01-17,5,1897.61,5.0
2025-01-17,6,1942.93,3.76
2025-01-17,7,1983.28,2.8
2025-01-17,8,2015.9,2.2
2025-01-17,9,2038.59,2.0
2025-01-17,10,2049.78,2.2
2025-01-17,11,2048.73,2.8
2025-01-17,12,2035.49,3.76
2025-01-17,13,2010.98,5.0
2025-01-17,14,1976.86,6.45
2025-01-17,15,1935.45,8.0
2025-01-17,16,1889.59,9.55
2025-01-17,17,1877.39,11.0
2025-01-17,18,1875.56,12.24
2025-01-17,19,1868.59,13.2
2025-01-17,20,1856.94,13.8
2025-01-17,21,1841.41,14.0
2025-01-17,22,1823.06,13.8
2025-01-17,23,1803.14,13.2
2025-01-17,24,1783.0,12.24
2025-01-18,1,1764.02,11.0
2025-01-18,2,1763.14,9.55
2025-01-18,3,1804.55,8.0
2025-01-18,4,1850.41,6.45
2025-01-18,5,1897.61,5.0
2025-01-18,6,1942.93,3.76
2025-01-18,7,1983.28,2.8
2025-01-18,8,2015.9,2.2
2025-01-18,9,2038.59,2.0
2025-01-18,10,2049.78,2.2
2025-01-18,11,2048.73,2.8
2025-01-18,12,2035.49,3.76
2025-01-18,13,2010.98,5.0
2025-01-18,14,1976.86,6.45
2025-01-18,15,1935.45,8.0
2025-01-18,16,1889.59,9.55
2025-01-18,17,1877.39,11.0
2025-01-18,18,1875.56,12.24
2025-01-18,19,1868.59,13.2
2025-01-18,20,1856.94,13.8
2025-01-18,21,1841.41,14.0
2025-01-18,22,1823.06,13.8
2025-01-18,23,1803.14,13.2
2025-01-18,24,1783.0,12.24
2025-01-19,1,1764.02,11.0
2025-01-19,2,1763.14,9.55
2025-01-19,3,1804.55,8.0
2025-01-19,4,1850.41,6.45
2025-01-19,5,1897.61,5.0
2025-01-19,6,1942.93,3.76
2025-01-19,7,1983.28,2.8
2025-01-19,8,2015.9,2.2
2025-01-19,9,2038.59,2.0
2025-01-19,10,2049.78,2.2
2025-01-19,11,2048.73,2.8
2025-01-19,12,2035.49,3.76
2025-01-19,13,2010.98,5.0
2025-01-19,14,1976.86,6.45
2025-01-19,15,1935.45,8.0
2025-01-19,16,1889.59,9.55
2025-01-19,17,1877.39,11.0
2025-01-19,18,1875.56,12.24
2025-01-19,19,1868.59,13.2
2025-01-19,20,1856.94,13.8
2025-01-19,21,1841.41,14.0
2025-01-19,22,1823.06,13.8
2025-01-19,23,1803.14,13.2
2025-01-19,24,1783.0,12.24
2025-01-20,1,1764.02,11.0
2025-01-20,2,1763.14,9.55
2025-01-20,3,1804.55,8.0
2025-01-20,4,1850.41,6.45
2025-01-20,5,1897.61,5.0
2025-01-20,6,1942.93,3.76
2025-01-20,7,1983.28,2.8
2025-01-20,8,2015.9,2.2
2025-01-20,9,2038.59,2.0
2025-01-20,10,2049.78,2.2
2025-01-20,11,2048.73,2.8
2025-01-20,12,2035.49,3.76
2025-01-20,13,2010.98,5.0
2025-01-20,14,1976.86,6.45
2025-01-20,15,1935.45,8.0
2025-01-20,16,1889.59,9.55
2025-01-20,17,1877.39,11.0
2025-01-20,18,1875.56,12.24
2025-01-20,19,1868.59,13.2
2025-01-20,20,1856.94,13.8
2025-01-20,21,1841.41,14.0
2025-01-20,22,1823.06,13.8
2025-01-20,23,1803.14,13.2
2025-01-20,24,1783.0,12.24
2025-01-21,1,1764.02,11.0
2025-01-21,2,1763.14,9.55
2025-01-21,3,1804.55,8.0
2025-01-21,4,1850.41,6.45
2025-01-21,5,1897.61,5.0
2025-01-21,6,1942.93,3.76
2025-01-21,7,1983.28,2.8
2025-01-21,8,2015.9,2.2
2025-01-21,9,2038.59,2.0
2025-01-21,10,2049.78,2.2
2025-01-21,11,2048.73,2.8
2025-01-21,12,2035.49,3.76
2025-01-21,13,2010.98,5.0
2025-01-21,14,1976.86,6.45
2025-01-21,15,1935.45,8.0
2025-01-21,16,1889.59,9.55
2025-01-21,17,1877.39,11.0
2025-01-21,18,1875.56,12.24
2025-01-21,19,1868.59,13.2
2025-01-21,20,1856.94,13.8
2025-01-21,21,1841.41,14.0
2025-01-21,22,1823.06,13.8
2025-01-21,23,1803.14,13.2
2025-01-21,24,1783.0,12.24
